product_name,link_keepa,link_amazon,link_chart,box_price,new_price,used_price
"Apple iPhone X (64GB, Space Gray) [Locked] + Carri",https://keepa.com/#!product/1-B07VMNX6XH,https://www.amazon.com/dp/B07VMNX6XH?psc=1,https://graph.keepa.com/pricehistory.png?asin=B07VMNX6XH&domain=com,104.00,104.00,
"A SLICE RED I14 Pro Max Unlocked Cell Phone,Long B",https://keepa.com/#!product/1-B0DBRH4W9W,https://www.amazon.com/dp/B0DBRH4W9W?psc=1,https://graph.keepa.com/pricehistory.png?asin=B0DBRH4W9W&domain=com,158.99,158.99,
"Apple iPhone 11 [64GB, Black] + Carrier Subscripti",https://keepa.com/#!product/1-B0844NJJF3,https://www.amazon.com/dp/B0844NJJF3?psc=1,https://graph.keepa.com/pricehistory.png?asin=B0844NJJF3&domain=com,112.37,112.37,
Apple iPhone 8 64GB Unlocked - Gray,https://keepa.com/#!product/1-B0CNL663BM,https://www.amazon.com/dp/B0CNL663BM?psc=1,https://graph.keepa.com/pricehistory.png?asin=B0CNL663BM&domain=com,122.97,122.00,95.00
Apple iPhone 7 32GB Unlocked AT&T/T-Mobile - Black,https://keepa.com/#!product/1-B0CNM32TLW,https://www.amazon.com/dp/B0CNM32TLW?psc=1,https://graph.keepa.com/pricehistory.png?asin=B0CNM32TLW&domain=com,94.99,94.99,78.00
